2026-04-13 15:34:34.548 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:34:34.556 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:35:40.351 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:35:40.359 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:36:46.485 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:36:46.493 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:37:52.528 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:37:52.536 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:38:58.410 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:38:58.418 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:40:04.377 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:40:04.385 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:41:10.358 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:41:10.366 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:42:16.384 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:42:16.392 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:43:22.454 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:43:22.463 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:44:28.427 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:44:28.435 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:45:34.431 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:45:34.439 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:46:40.344 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:46:40.352 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:47:46.370 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:47:46.379 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:48:52.379 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:48:52.387 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:49:58.334 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:49:58.342 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:51:04.376 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:51:04.384 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:52:10.293 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:52:10.301 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:53:16.405 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:53:16.413 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:54:22.467 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:54:22.476 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:55:28.466 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:55:28.474 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:56:34.320 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:56:34.328 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:57:40.393 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:57:40.401 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:58:46.417 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:58:46.425 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 15:59:52.418 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 15:59:52.426 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:00:58.444 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:00:58.452 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:02:04.346 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:02:04.354 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:03:10.433 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:03:10.441 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:04:16.374 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:04:16.382 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:05:22.410 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:05:22.418 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:06:28.461 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:06:28.469 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:07:34.470 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:07:34.478 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:08:40.394 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:08:40.402 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:09:46.512 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:09:46.521 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:10:52.327 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:10:52.335 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:11:58.353 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:11:58.361 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:13:04.392 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:13:04.400 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:14:10.369 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:14:10.377 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:15:16.443 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:15:16.451 | INFO     | app.main:main:38 | Starting polling...
2026-04-13 16:16:22.546 | INFO     | app.main:main:25 | Initializing bot...
2026-04-13 16:16:22.555 | INFO     | app.main:main:38 | Starting polling...
